Region,Country Name,Mobile users per capita,Population,Year,Migration: Top 3 destinations,Migration: Top 3 sources
Africa,Djibouti,0.00,731930,2000,"[('Ethiopia', '1513'), ('United Kingdom', '919'), ('Canada', '486')]","[('Somalia', '41968'), ('Ethiopia', '25437'), ('Eritrea', '3259')]"
The Americas,Dominica,0.02,69672,2000,"[('United States', '17967'), ('Guadeloupe', '6275'), ('Virgin Islands (U.S.)', '4919')]","[('Guadeloupe', '846'), ('United Kingdom', '352'), ('United States', '348')]"
The Americas,Dominican Republic,0.08,8591967,2000,"[('United States', '706894'), ('Spain', '35587'), ('Italy', '17851')]","[('Haiti', '228274'), ('Venezuela, RB', '17358'), ('United States', '11114')]"
The Americas,Ecuador,0.04,12345023,2000,"[('United States', '302705'), ('Spain', '176212'), ('Venezuela, RB', '29027')]","[('Colombia', '50510'), ('United States', '10824'), ('Peru', '5090')]"
Africa,"Egypt, Arab Rep.",0.02,67648419,2000,"[('Saudi Arabia', '980205'), ('Libya', '318394'), ('United Arab Emirates', '133986')]","[('West Bank and Gaza', '41067'), ('Sudan', '15809'), ('Germany', '9983')]"
The Americas,El Salvador,0.13,5940305,2000,"[('United States', '827583'), ('Canada', '38167'), ('Guatemala', '11854')]","[('Honduras', '8802'), ('Guatemala', '6698'), ('Nicaragua', '5896')]"
Africa,Equatorial Guinea,0.01,520380,2000,"[('Gabon', '38709'), ('Spain', '10778'), ('Nigeria', '3153')]","[('Cameroon', '1863'), ('Spain', '741'), ('Nigeria', '609')]"
Africa,Eritrea,0.00,3667576,2000,"[('Ethiopia', '255018'), ('Saudi Arabia', '30072'), ('United States', '17438')]","[('Uganda', '2854'), ('Sudan', '1667'), ('Congo, Dem. Rep.', '1335')]"
Europe,Estonia,0.41,1369515,2000,"[('Russian Federation', '67402'), ('Germany', '42892'), ('Finland', '31597')]","[('Russian Federation', '190599'), ('Ukraine', '25185'), ('Belarus', '14883')]"
Africa,Ethiopia,0.00,65577897,2000,"[('United States', '71578'), ('Israel', '66967'), ('Djibouti', '25437')]","[('Eritrea', '255018'), ('Somalia', '101938'), ('Rwanda', '12420')]"
Europe,Faeroe Islands,0.37,45743,2000,"[('Denmark', '9914'), ('France', '2665'), ('Norway', '921')]","[('Iceland', '411'), ('Norway', '216'), ('Poland', '202')]"
Oceania,Fiji,0.07,811718,2000,"[('Australia', '43695'), ('United States', '31505'), ('New Zealand', '25402')]","[('India', '4531'), ('Australia', '1526'), ('New Zealand', '1428')]"
Europe,Finland,0.72,5176209,2000,"[('Sweden', '193364'), ('France', '79086'), ('United States', '23608')]","[('Estonia', '31597'), ('Sweden', '28981'), ('Russian Federation', '10527')]"
Europe,France,0.48,60910922,2000,"[('United States', '198061'), ('Spain', '126435'), ('United Kingdom', '116631')]","[('Algeria', '1057135'), ('Poland', '800387'), ('Tunisia', '310949')]"
Oceania,French Polynesia,0.17,237638,2000,"[('United States', '7709'), ('New Caledonia', '3514'), ('France', '477')]","[('France', '21581'), ('New Caledonia', '2934'), ('South Africa', '709')]"
Africa,Gabon,0.10,1235274,2000,"[('Mali', '4543'), ('Ghana', '4040'), ('Germany', '1228')]","[('Equatorial Guinea', '38709'), ('Mali', '26445'), ('Benin', '25017')]"
Africa,"Gambia, The",0.00,1297084,2000,"[('Senegal', '7374'), ('Spain', '5083'), ('Nigeria', '4312')]","[('Senegal', '98366'), ('Guinea', '33489'), ('Guinea-Bissau', '10281')]"
Asia,Georgia,0.04,4418300,2000,"[('Russian Federation', '628973'), ('Israel', '86254'), ('Germany', '75104')]","[('Russian Federation', '119977'), ('Ukraine', '41382'), ('Armenia', '23674')]"
Europe,Germany,0.59,82211508,2000,"[('United States', '1250815'), ('United Kingdom', '338110'), ('Turkey', '272995')]","[('Turkey', '2008979'), ('Poland', '1999975'), ('Russian Federation', '978793')]"
Africa,Ghana,0.01,19165490,2000,"[('Nigeria', '123169'), (""Cote d'Ivoire"", '75072'), ('United States', '68432')]","[('Togo', '40506'), ('Burkina Faso', '31964'), ('Mauritania', '28145')]"
Europe,Greece,0.54,10917482,2000,"[('Germany', '367554'), ('United States', '179950'), ('Australia', '115342')]","[('Albania', '420838'), ('Bulgaria', '33726'), ('Georgia', '21977')]"
The Americas,Greenland,0.27,56200,2000,"[('Denmark', '11934'), ('France', '1760'), ('Guatemala', '248')]","[('Denmark', '6808'), ('Faeroe Islands', '182'), ('Mexico', '43')]"
The Americas,Grenada,0.04,101522,2000,"[('United States', '27847'), ('Trinidad and Tobago', '11335'), ('Canada', '8755')]","[('Trinidad and Tobago', '3072'), ('United States', '1317'), ('St. Vincent and the Grenadines', '605')]"
Oceania,Guam,0.18,155147,2000,"[('United States', '47896'), ('Northern Mariana Islands', '1607'), ('Philippines', '1016')]","[('Philippines', '32675'), ('United States', '19125'), ('Micronesia, Fed. Sts.', '6994')]"
The Americas,Guatemala,0.08,11237101,2000,"[('United States', '489507'), ('Mexico', '24148'), ('Belize', '14672')]","[('El Salvador', '11854'), ('Mexico', '10901'), ('Nicaragua', '5321')]"
Africa,Guinea,0.01,8344486,2000,"[(""Cote d'Ivoire"", '129807'), ('Senegal', '74213'), ('Sierra Leone', '58908')]","[('Liberia', '117820'), ('Sierra Leone', '97669'), ('Mali', '9945')]"
Africa,Guinea-Bissau,0.00,1240655,2000,"[('Senegal', '42094'), ('Gambia, The', '10281'), ('Nigeria', '3206')]","[('Senegal', '6407'), ('Guinea', '3547'), ('Gambia, The', '513')]"
